label,news
1,"In addition to the demand in Finland , the export of lining stone products also increased ."
2,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .
0,"In Switzerland , Teleste have been an established supplier of products for a long time and its primary customers include cable and fiber-to-the-home ( FTTH ) operators ."
0,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .
2,Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .
0,"In addition to the presentations held by President & CEO Kai Telanne and CFO Tuomas Itkonen , participants will have an opportunity to discuss with other members of the company 's management ."
0,`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .
2,"The OMX Helsinki 25 ended 0.47 pct lower at 3,150.55 and the OMX Helsinki was down 0.21 pct at 10,736.42 on 1.523 bln eur turnover ."
0,The goal will be achieved via organic growth possibly supplemented by acquisitions .
0,"Of these shares 14,747,084 are held by the Company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161,256,847 ."
1,"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier ."
1,The company expects its net sales in 2008 to increase 5-10 % from 2007 .
1,"Finnish silicon wafers manufacturer Okmetic Oyj said on June 29 , 2007 it signed an agreement with Nordea Bank Finland Plc , the local subsidiary of Swedish commercial bank Nordea Bank AB , which will refinance Okmetic 's syndicated bank facility which amounts to some 20 mln euro ( $ 26.9 mln ) ."
0,"CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region ."
0,"According to Sweden 's Minister for Local Government and Financial Markets , Mats Odell , the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland ."
0,The adjustment measures will be carried out in phases to secure the delivery capability .
1,"The company estimates that the trend in demand for sports equipment will be steady in 2006 , '' Amer 's report said ."
0,It will use the proceeds from the transaction to achieve its target .
0,The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .
2,The company expects its net sales for the whole 2009 to remain below the 2008 level .
2,"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 ."
2,The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .
1,"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 ."
2,"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland ."
1,"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 ."
1,Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .
0,"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players ."
0,It also has potential clients in the growing environmental and recycling technology sectors .
2,"In Finland , Sampo Bank , now part of the Danske Bank group , will lay off staff from the administrative and support functions ."
0,"The most popular mobile data services are email , surfing the internet , as well as news and weather services ."
1,"Thereby , the company will expand its offering to North , Central and South America ."
2,"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 ."
0,Finnish paper maker UPM-Kymmene Corp. on Monday announced the sale of its wrapping unit Walki Wisa to the CapMan investment group in a move to further concentrate on its core business .
2,"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said ."
0,A PLUMBING business has announced it is sponsoring a professional darts player .
0,"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share ."
1,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine ."
